feedback,sentiment
"It’s wearable. That’s the nicest thing I can say.",neutral
"I didn’t expect magic, and I didn’t get it either.",neutral
"Maybe not made for my body type, but I respect the ambition.",neutral
"I kept checking the mirror to decide if I love it or hate it.",neutral
"It made me feel elegant—and that’s rare for online shopping.",positive
"Looks handcrafted, in a charming, slightly imperfect way.",positive
"Let's just say my iron had to do a lot of work.",negative
"It’s okay for an emergency outfit, not a first choice.",neutral
"The color is divine, but the stitching had other plans.",negative
"One of those dresses that photographs better than it lives.",neutral
"I felt cute, but also slightly like I was in a vintage movie.",positive
"I guess it’s fashion-forward. Just a little too forward for me.",neutral
"The neckline says brunch; the hem says nightclub. It’s confused.",neutral
"I wanted drama, and I got it—just not in the way I expected.",negative
"I didn’t expect it to be perfect, and I was right.",neutral
"It’s wearable if you’re into unique silhouettes and mild confusion.",neutral
"My boyfriend said ‘interesting’—which is never a good sign.",negative
"It’s soft, it fits, and it has pockets. That’s 2.5 wins.",positive
"I didn’t know dresses could be moody until this one.",neutral
"Looks best under soft lighting and low expectations.",neutral
"It’s not bad. It’s just not exciting either.",neutral
"I wore it to a dinner and felt like I belonged in a catalog—finally!",positive
"The more I wear it, the more I understand it.",positive
"Initially hated it, but now it’s my go-to for lazy glam.",positive
"It moves beautifully, like it’s floating... slightly unevenly.",neutral
"Let’s just say I’ve had better experiences with potato sacks.",negative
"If you're going for 'misunderstood fashion icon', this is it.",positive
"Soft as a cloud, fits like a puzzle piece that almost clicks.",neutral
"I appreciate the effort, even if my mirror doesn’t.",neutral
"It’s what you wear when you want compliments and confusion.",neutral
"Stylish, but not in the way I expected. Or hoped.",neutral
"The sleeves are dramatic. And by that I mean confusing.",neutral
"Can’t decide if it’s high fashion or just accidentally trendy.",neutral
"Put it on, twirled once, and decided I deserve better.",negative
"My cat loves the texture. I’m still making up my mind.",neutral
"It makes a statement. I’m just not sure what the statement is.",neutral
"The fit is... interpretive.",negative
"I respect the vision. I just don’t see it on me.",neutral
"It gives medieval princess meets city commute.",neutral
"Pairs well with confidence and dim lighting.",positive
"Fits well, but feels emotionally distant.",neutral
"I wanted elegance. I got eccentric.",neutral
"Not sure if it’s couture or a creative crisis.",negative
"The fabric whispers class, but the cut yells chaos.",neutral
"It’s wearable art—emphasis on the art.",positive
"The silhouette is bold. And maybe a bit reckless.",neutral
"I wore it and felt like a Pinterest board.",positive
"It looks like it has a story. I just hope it’s a good one.",positive
"Not sure how I feel yet. It’s still growing on me like ivy.",neutral
"My mirror and I are having debates about this dress.",neutral
"Half of me loves it, the other half is filing a complaint.",neutral
"Great dress if you’re into fashion risks and mild regret.",negative
"It’s beautiful, but definitely a commitment.",positive
"If confusion was a fabric, this dress would be it.",negative
"I could wear this to a gallery opening or a costume party.",neutral
"The craftsmanship is stunning—even if the style is bold.",positive
"It’s loud, but in an artsy coffee shop way.",positive
"Looks like a dream. Feels like a gentle disagreement.",neutral
"I keep reaching for it, even though it betrayed me once.",neutral
"The dress is doing the most. I’m still catching up.",neutral
"My friend called it ‘statement vintage’. I’ll take that.",positive
"It’s weirdly charming. Like an old French movie.",positive
"It’s one of those outfits you grow into emotionally.",neutral
"Bold, brave, and slightly baffling.",neutral
"I look like I care about fashion. Mission accomplished.",positive
"Like wearing poetry—if poetry had rough seams.",neutral
"I wore it and instantly felt like an art teacher.",positive
"Honestly, I don’t know if I love it or just respect it.",neutral
"It looks high-end. Feels slightly sarcastic.",neutral
"My favorite part is how it makes people stare—then blink.",positive
"Great for making an impression. Just not sure which one.",neutral
"I put it on and my confidence leveled up… almost.",positive
"The color sings. The stitching hums awkwardly.",neutral
"Wasn’t love at first try, but it’s growing on me like jazz.",positive
"It has flair, drama, and slight chaos in the hemline.",neutral
"Definitely makes you feel like you’re up to something.",positive
"It’s quirky, bold, and a tiny bit overwhelming.",neutral
"I wore it and suddenly developed main character energy.",positive
"It’s fashion-forward… two steps too far maybe.",neutral
"Feels like a conversation starter—maybe even a debate.",neutral
"Comfy, stylish, and slightly unpredictable. Like me.",positive
"I feel like this dress could write a novel.",positive
"It tells a story. I’m just figuring out if it’s a happy one.",neutral
"Not sure if it's trendy or just ahead of its time.",neutral
"Reminds me of Paris. Or at least the idea of it.",positive
"People stare. I assume it’s admiration.",positive
"It’s a whole mood. Mostly confident, slightly chaotic.",positive
"The dress is extra—and so am I, so we get along.",positive
"It’s less ‘classic beauty’ and more ‘unapologetic presence’.",positive
"Unusual in the best possible way. I think.",positive
"It looks like something a cool aunt would wear. I’ll take it.",positive
"The fabric feels amazing against the skin—luxury without the price tag.",positive
"I expected sophistication, got supermarket fashion instead.",negative
"This dress does nothing for my figure, but the color is nice.",neutral
"I’m absolutely obsessed. Already planning to buy the same in another color.",positive
"The stitching came loose after one wash. What a disappointment.",negative
"It’s wearable, but doesn’t spark joy.",neutral
"Elegant, modern, and incredibly flattering. A rare find!",positive
"The fabric wrinkles just by looking at it. Not practical at all.",negative
"I’ve received mixed opinions. My friends love it, I’m still undecided.",neutral
"I felt like a princess wearing this. Can’t wait for my next event!",positive
"It’s hard to tell if this is fashion-forward or just confusing.",neutral
"Honestly, the design is fresh and feminine. I love it!",positive
"Buttons fell off before I even tried it on. Poor quality.",negative
"Looks good on the hanger, not so much on me.",neutral
"Perfect for brunch dates and casual Fridays. Love the versatility.",positive
"I don’t hate it, but I wouldn’t wear it again.",neutral
"Exceeded expectations! The fabric, the fit—everything!",positive
"I wanted elegance. Got disappointment wrapped in plastic.",negative
"It’s okay, but feels overpriced for what it offers.",neutral
"Stylish yet comfortable—this is why I keep coming back to this shop.",positive
"The length is awkward and unflattering. Returned it immediately.",negative
"It’s... fine. Just doesn’t make me feel special.",neutral
"I feel confident and classy whenever I wear it.",positive
"The zip is faulty and gets stuck. Poor construction.",negative
"Didn’t love it at first, but it’s grown on me.",neutral
"Everyone thought it was designer! Best boutique purchase ever.",positive
"I bought this for a wedding and ended up wearing something else.",negative
"The cut is unique. Still figuring out how to style it.",neutral
"Flawless execution. I’m in love with the craftsmanship.",positive
"Color bleeds after washing. Not expected from a boutique.",negative
"Not bad for casual wear, just not memorable.",neutral
"It made me feel gorgeous without trying too hard.",positive
"Returned it the same day it arrived. Didn’t meet expectations.",negative
"Middle-of-the-road quality, but the design stands out.",neutral
"Every time I wear it, someone compliments me.",positive
"The neckline is too wide and makes it hard to wear a bra.",negative
"I think it’s decent. Not a showstopper but gets the job done.",neutral
"Amazing fit and elegant design. Worth every penny!",positive
"The sleeves don’t match the size of the rest of the dress. Weird.",negative
"It’s acceptable, just not boutique-level quality.",neutral
"This is hands-down my favorite outfit this season.",positive
"Feels like something you'd find in a clearance bin.",negative
"I guess it works for laid-back events. Not my first pick.",neutral
"Wearing it makes me feel like the best version of myself.",positive
"Terrible finishing—loose threads everywhere.",negative
"Looks fine in natural light, less so indoors.",neutral
"The dress moves with such grace—it’s like wearing poetry.",positive
"I feel like a walking tablecloth. Not flattering.",negative
"Not stunning, but passable for everyday wear.",neutral
"Comfortable, classy, and exactly what I was looking for!",positive
"I wouldn’t recommend this even on sale.",negative
"The shape is a bit off, but the fabric is nice.",neutral
"Every detail screams quality. I’m in love!",positive
"The seam tore within an hour of wearing. Never again.",negative
"Kind of average. Nothing to rave about.",neutral
"I feel so elegant and powerful when I wear this!",positive
"The material is stiff and doesn’t breathe well.",negative
"Didn’t wow me, but didn’t disappoint either.",neutral
"The sparkle on the dress caught everyone's eye at the party!",positive
"It looks better online than in person. Bit of a letdown.",negative
"It’s alright. Works better as a layering piece.",neutral
"This boutique never fails to impress me. Another hit!",positive
"Fabric is rough and color faded after first wash.",negative
"The shape is interesting. Still deciding if that’s a good thing.",neutral
"I walked into the room and instantly felt like the star.",positive
"Too tight in places and loose in others. Weird fit.",negative
"Honestly, it’s wearable. Not much more.",neutral
"I wore this to a date and got so many compliments!",positive
"It shrank after one gentle wash. Frustrating.",negative
"It’s the kind of outfit you forget you own.",neutral
"I keep reaching for this one. So reliable and pretty.",positive
"The design looks rushed and unfinished.",negative
"Decent for lounging at home or running errands.",neutral
"The level of detail is just incredible. True boutique feel!",positive
"Poor fabric choice ruins an otherwise nice design.",negative
"Neutral feelings about this one. Neither here nor there.",neutral
"Chic, comfortable, and effortlessly stylish.",positive
"I felt like I was wearing a sack. Not flattering at all.",negative
"Meh. Not bad, but I wouldn’t wear it out.",neutral
"This dress made my weekend getaway feel extra special.",positive
"Seams are crooked and it arrived smelling weird.",negative
"It’s fine for errands or casual meetups.",neutral
"It flatters my curves perfectly and feels amazing!",positive
"Honestly, looks better folded in the drawer than on me.",negative
"Good enough for casual Fridays at the office.",neutral
"I love the flair and how it flows when I walk.",positive
"Didn’t feel as high-quality as advertised.",negative
"I’ll wear it when I have nothing better to wear.",neutral
"I felt so beautiful wearing this, I didn’t want to take it off!",positive
"After one wash, the color faded and shape changed. Terrible.",negative
"I like it, but I’m not in love with it.",neutral
"Perfect for a dinner date—stylish yet subtle.",positive
"The fabric was itchy and made me uncomfortable all day.",negative
"It’s a decent piece if paired with a good jacket.",neutral
"This dress exceeded all my expectations!",positive
"Straps were sewn on unevenly. Looks cheap.",negative
"It’s okay for photos, not so much for real life.",neutral
"This boutique piece made me feel red-carpet ready!",positive
"Can’t believe I paid full price for this.",negative
"Just okay. Might look better with accessories.",neutral
"The dress fits like a dream and the stitching is flawless!",positive
"The delivery was delayed by four days, and I wasn’t even informed.",negative
"The price seemed fair for the quality, though I wish it had a lining.",neutral
"Customer support helped me change the size quickly. Impressed!",positive
"The zipper broke on first use. Clearly no quality check done.",negative
"It arrived on time, but the fit was not exactly as expected.",neutral
"Honestly, it feels like a designer piece. Totally worth the price!",positive
"Way too expensive for something that looks this basic.",negative
"The color is exactly like the photo, but the fabric is thinner than I thought.",neutral
"They called to confirm my size before shipping. That’s rare and appreciated.",positive
"Stitching errors on the neckline make it look unfinished.",negative
"Fabric feels soft, but not very durable. Let's see after a few washes.",neutral
"This is my go-to boutique now! Amazing quality and fast service.",positive
"I emailed twice about the late delivery and got no reply.",negative
"Fits okay, looks okay. Nothing to complain about, but nothing to praise.",neutral
"The price-to-quality ratio here is unbelievable. Highly recommended!",positive
"The lace started fraying after just one wear. Terrible quality!",negative
"It’s a decent dress, but overpriced for sure.",neutral
"The packaging was stunning and the dress was pressed to perfection.",positive
"The order arrived incomplete and I had to call twice to get it fixed.",negative
"It’s wearable, but I expected a bit more glam.",neutral
"Absolutely loved how they kept me updated about the shipment.",positive
"I opened the parcel to find stains on the fabric. Very disappointed.",negative
"The quality is passable, but for this price, I expected better.",neutral
"Perfect stitching, quality fabric, and fast delivery. Win-win!",positive
"The fabric feels rough and there are loose threads everywhere.",negative
"It’s neither bad nor great. Just average overall.",neutral
"They included a handwritten thank-you note. That made my day!",positive
"I returned the item due to poor finishing and delayed delivery.",negative
"I can wear it, sure, but I’m not thrilled about it.",neutral
"Excellent customer engagement and premium quality. Worth every rupee!",positive
"The item smelled of chemicals and looked worn. Not new at all.",negative
"I like the design but not sure if it's worth the full price.",neutral
"They managed to deliver two days early—so impressed!",positive
"Missed the due date and no apologies given. Poor service.",negative
"The design is modern, but the comfort is average.",neutral
"The material feels rich, and the tailoring is impressive.",positive
"Quality check was clearly skipped—one sleeve was longer than the other.",negative
"The color pops beautifully, but the fit is a bit boxy.",neutral
"The customer support team called to confirm color preferences. Amazing!",positive
"Package came torn and the dress had dust on it. So careless.",negative
"Neither impressed nor disappointed. It’s wearable.",neutral
"The quality surpassed my expectations. Boutique at its best!",positive
"I paid premium but received discount-store quality. Not okay.",negative
"Fit is good, but I’m still undecided about the pattern.",neutral
"Looks even better in real life, and the fabric is so breathable.",positive
"Wrong size sent and no response from support.",negative
"The embroidery is nice, but the thread color feels mismatched.",neutral
"The team followed up after delivery to ask if I was satisfied!",positive
"Didn’t match the description or image on the website.",negative
"The style is fine but feels outdated in person.",neutral
"Everything about the product and service screamed professionalism!",positive
"The hem was poorly stitched and already coming undone.",negative
"It’s decent but doesn’t feel like a boutique item.",neutral
"This is my third order, and the consistency is commendable!",positive
"The dress looks used. I expected better from a boutique.",negative
"It fits me well, though I wouldn’t call it exciting.",neutral
"Love the attention to detail and timely delivery!",positive
"Too sheer and the quality isn’t worth the cost.",negative
"Not bad for casual wear, but I wouldn’t wear it out.",neutral
"Delivery was quick, packaging was eco-friendly. Loved it!",positive
"I received the wrong color and the return process is slow.",negative
"It’s okay. I’ve worn better, but it’s not a disaster.",neutral
"Everything from price to packaging was top-notch!",positive
"The item was clearly not inspected before shipping. Loose threads everywhere.",negative
"Neutral experience. Didn’t love or hate it.",neutral
"I messaged them on Instagram and got a reply in 5 minutes. Impressive!",positive
"The print faded after one wash—completely unacceptable.",negative
"Nice design, but I don’t think I’ll wear it more than once.",neutral
"Affordable, gorgeous, and fits like a dream.",positive
"No lining and transparent in light. Not wearable outside.",negative
"It’s simple and okay for daily wear.",neutral
"Honestly, I’ve never been happier with a purchase.",positive
"Arrived 3 days late with zero communication.",negative
"It looks better in photos than it does on me.",neutral
"Such thoughtful service and amazing fabric quality!",positive
"The stitching is uneven and looks rushed.",negative
"I feel okay wearing it—not thrilled, not upset.",neutral
"This dress turned out to be better than some designer brands!",positive
"The neckline stitching came undone after one wear.",negative
"It’s not a bad product, but feels like something I’d buy on sale.",neutral
"Smooth ordering, accurate sizing, and premium feel.",positive
"The color bled during first wash—very disappointing.",negative
"I can wear it at home, but not for an event.",neutral
"Beautifully wrapped, smelled fresh, and fit like custom-made!",positive
"The belt loop ripped while trying it on. Clearly poor fabric.",negative
"Nice for photos, but not very comfortable to wear long hours.",neutral
"Timely delivery, quality assurance card included—very professional.",positive
"The fit is off and they ignored my sizing instructions.",negative
"It’s not impressive, but does the job for the price.",neutral
"The design is both classy and modern. I love how it flows!",positive
"Looks great but the material is scratchy and hot.",negative
"Good option if you’re not expecting anything fancy.",neutral
"This boutique just earned a loyal customer!",positive
"Price too high for such ordinary material and design.",negative
"It works for casual Fridays, but not weekend parties.",neutral
"The color, texture, and fall of the dress are all perfect.",positive
"The package was torn and had no invoice or tags.",negative
"Acceptable for home wear or errands, not more.",neutral
"The fabric feels luxurious and doesn’t cling—absolutely loved it!",positive
"Not impressed with the quality for the price I paid.",negative
"The dress is fine, though I had to iron it for 20 minutes.",neutral
"They followed up post-delivery to check if I was happy. That’s service!",positive
"The item arrived late and looked nothing like the picture.",negative
"Nice color and decent fit, but didn’t feel premium.",neutral
"Perfect fit, well-stitched, and packaged with care!",positive
"Received my order a week late and no response from the support team.",negative
"It’s wearable, but I wouldn’t rave about it.",neutral
"Elegant design, soft fabric, and speedy delivery—love it!",positive
"I expected better finishing. The stitching is all over the place.",negative
"Fabric quality is okay, though it’s not very breathable.",neutral
"The team helped me exchange the size smoothly—excellent support!",positive
"The inner lining was missing. Doesn’t feel safe to wear outside.",negative
"The color is not exactly as shown, but still looks good.",neutral
"Every detail of the dress shows craftsmanship and care.",positive
"The dress had an odd smell and wasn’t cleaned properly.",negative
"It’s fine for home use but not for events.",neutral
"This is boutique-level quality at an affordable price. Impressive!",positive
"The zip broke on first wear and ruined my evening.",negative
"Nice concept, but the execution falls a bit short.",neutral
"I loved how they sent me updates at every step of the delivery.",positive
"The hem is uneven and the shoulder cut feels awkward.",negative
"The print is different than what I expected, but still acceptable.",neutral
"Great material, great fit, and arrived earlier than promised!",positive
"I ordered a small but received a large. Very careless.",negative
"It’s acceptable for everyday wear—not too fancy.",neutral
"The compliments I got wearing this were endless!",positive
"The price doesn’t match the quality. Definitely overpriced.",negative
"Simple, wearable design with an okay fit.",neutral
"Fast delivery, eco-friendly packaging, and lovely product!",positive
"The fabric started pilling after just two wears.",negative
"Color faded slightly after the first wash, but still wearable.",neutral
"Absolutely stunning! Looks exactly like the website photos.",positive
"The customer care was unhelpful when I asked about my return.",negative
"It’s a nice outfit, but the sleeves are a bit too tight.",neutral
"My new favorite boutique—excellent value for money!",positive
"The stitching on the neckline is crooked and noticeable.",negative
"Nice pattern, but it runs smaller than standard sizes.",neutral
"They offered a free alteration after I raised a concern. Fantastic!",positive
"Loose threads and faded print—clearly no quality check done.",negative
"The fit is unusual but still manageable.",neutral
"Arrived with a sweet thank-you note and smelled fresh. Loved it!",positive
"Delayed dispatch and no one responded to my follow-up.",negative
"It’s a fine outfit. Not amazing, not bad.",neutral
"True boutique feel—felt like I was wearing custom couture.",positive
"The belt is flimsy and started tearing at the seam.",negative
"I wore it once, looked okay, but wasn’t as comfy as expected.",neutral
"The fitting was flawless and the embroidery was rich.",positive
"Thread came off from the sleeve within minutes of trying it on.",negative
"It looks better when accessorized. Feels incomplete on its own.",neutral
"Customer support was patient and kind. Great experience!",positive
"Item was crumpled and looked like it had been used before.",negative
"Just an average piece. Didn’t wow me.",neutral
"The fabric, design, and colors were all on point!",positive
"Shipping took forever and the product looked rushed.",negative
"The item is okay—suitable for indoor gatherings.",neutral
"I’ve never been this happy with an online clothing order!",positive
"The stitching came undone after a light wash. Poor quality.",negative
"I’ll keep it, but it won’t be my first choice.",neutral
"This dress made me feel so confident and graceful.",positive
"The sizing chart is completely inaccurate.",negative
"It’s alright if you’re not too picky.",neutral
"Tailoring is perfect, and the silhouette is just stunning!",positive
"The dress was packed without care. Arrived full of wrinkles.",negative
"The dress fits, but the style isn’t really me.",neutral
"Great customer service and product is true to description.",positive
"I didn’t like the quality at all. Felt scratchy.",negative
"Can wear it for quick errands or indoor events.",neutral
"The way it flows and hugs my waist is beautiful.",positive
"The print is too loud and unevenly printed.",negative
"It feels durable but lacks that wow factor.",neutral
"Affordable and still high in quality. That’s rare!",positive
"I got the wrong order and it took 10 days to resolve.",negative
"Looks good, but doesn't feel premium.",neutral
"Item arrived on time and looked exactly like the preview.",positive
"Very bad stitching and cheap buttons. Returned.",negative
"It’s decent for low-key events or brunch.",neutral
"Lovely colors and perfectly stitched seams!",positive
"The fabric is thin and shows through under light.",negative
"Decent pattern but not worth the hype.",neutral
"Effortless style and great customer interaction!",positive
"I received a damaged item and no refund yet.",negative
"Nice design, but fabric texture is disappointing.",neutral
"Feels like it was made just for me!",positive
"The fit is totally off. Nothing like what was advertised.",negative
"It’s wearable after a few adjustments.",neutral
"Elegant, subtle, and surprisingly affordable!",positive
"Cheap packaging and missing invoice. Unprofessional.",negative
"The overall vibe is okay—simple and clean.",neutral
"One of the best shopping experiences I’ve had online!",positive
"Item was clearly a return. It was wrinkled and stained.",negative
"Looks good in natural light. Feels average indoors.",neutral
"The flow of the fabric and the cut are gorgeous.",positive
"The fabric gives rashes. Might be allergic.",negative
"It looks okay on video calls but not in person.",neutral
"High quality, quick shipping, and exceptional care!",positive
"Delivery took way too long and tracking was inaccurate.",negative
"Didn’t meet expectations but also didn’t completely disappoint.",neutral
"The dress hugged all the right places and still felt breezy. Amazing!",positive
"I paid a premium for something that looks like a roadside purchase.",negative
"The design is new to me. Still unsure if I like it.",neutral
"Got compliments all night. Couldn’t have asked for better!",positive
"It looks stitched in a hurry—threads hanging everywhere.",negative
"The fit is average. Not bad, not amazing.",neutral
"Every piece from them has felt like a personal statement.",positive
"Delayed by 6 days and no apology. That’s just rude.",negative
"It’s wearable, but I expected more for the price.",neutral
"Color is vibrant and stitching is clean—absolutely loved it!",positive
"The dress looked used and had a weird smell.",negative
"It’s cute, but a bit shorter than expected.",neutral
"Perfect in every way—price, quality, and delivery!",positive
"The customer care agent ghosted me after I raised a query.",negative
"Delivery was fine. Packaging was okay. Dress is okay.",neutral
"Made me feel like a queen. Worth every penny!",positive
"The buttons fell off the first time I wore it.",negative
"I might wear it for casual meetups. Nothing more.",neutral
"Elegant fabric with a professional touch. Very impressive!",positive
"The neckline is way too low for daily wear.",negative
"I’ve seen better options in local markets.",neutral
"Impeccable quality and a handwritten note? Wow!",positive
"Loose threads and uneven dye marks. Not worth the hype.",negative
"The piece is fine, though a bit overpriced.",neutral
"I adore the craftsmanship. You can see the effort.",positive
"My dress came with lipstick marks on the collar.",negative
"Average experience, but it’s not something I’d return.",neutral
"They even included a style guide with it—so thoughtful!",positive
"Zipper stuck halfway through. Had to cut myself out of it.",negative
"Packaging was nice. Dress quality is just okay.",neutral
"The embroidery is gorgeous—pictures don’t do it justice!",positive
"The fabric tore near the seam while trying it on.",negative
"Good for a backup outfit, not the main one.",neutral
"Customer support followed up to confirm my size. Great service!",positive
"It was wrinkled and stuffed in a plastic bag. Very tacky.",negative
"The shade is slightly off but still works with accessories.",neutral
"Fit, fabric, and delivery—all exceeded expectations!",positive
"The delivery guy didn’t even ring the bell. Package got wet.",negative
"Nothing extraordinary, but wearable.",neutral
"Excellent tailoring and timely dispatch—will reorder!",positive
"The label was half torn and the fabric looked worn out.",negative
"I wore it to a casual dinner, got mixed reactions.",neutral
"Feels custom-made. Finally, a boutique that understands shape!",positive
"The lace started fraying after the first wash.",negative
"I like it, but the collar feels stiff.",neutral
"They called to confirm my measurements. Impressed!",positive
"The stitching is so bad it scratches my skin.",negative
"Color is not as advertised, but still decent.",neutral
"Such fine detailing! Can’t wait to shop more.",positive
"The hem came undone while walking. Embarrassing.",negative
"Delivery was fast but the dress doesn’t feel premium.",neutral
"I felt stunning—like it was made just for me!",positive
"Even at half the price, it wouldn't be worth it.",negative
"Okayish quality, but not very flattering.",neutral
"The material is breathable and fit is forgiving.",positive
"The cloth is rough and not comfortable for long wear.",negative
"I kept it for its uniqueness, not quality.",neutral
"This boutique knows how to make a woman feel special!",positive
"The threads were loose and the print was faded.",negative
"The quality is alright, but the size is off.",neutral
"Great for gifting. Comes beautifully packed!",positive
"Customer care was clueless when I called.",negative
"The dress was too long but manageable with heels.",neutral
"Can’t stop twirling in it. Just beautiful!",positive
"Packaging was damaged and dress had a tear.",negative
"Suitable for informal get-togethers, not formal events.",neutral
"Love how it flatters my shape without being tight.",positive
"The inner lining is itchy and uncomfortable.",negative
"Just another dress, nothing special.",neutral
"Timely updates, sweet packaging, and the fit was bang on!",positive
"The dye rubbed off on my bag. Horrible experience.",negative
"It looks good in pictures more than real life.",neutral
"The value for money is unmatched. Highly recommend!",positive
"I waited 10 days and still got the wrong size.",negative
"The dress is wearable, but I won’t reorder.",neutral
"The design was so classy—wore it twice in one week!",positive
